Date,RY_15y,15s-20s
03/29/2021,-2.317,9.737
03/26/2021,-2.340,9.505
03/25/2021,-2.341,8.899
03/24/2021,-2.310,8.712
03/23/2021,-2.278,8.649
03/22/2021,-2.235,8.507
03/19/2021,-2.236,8.538
03/18/2021,-2.213,8.466
03/17/2021,-2.265,9.729
03/16/2021,-2.311,10.641
03/15/2021,-2.299,9.007
03/12/2021,-2.239,9.254
03/11/2021,-2.312,10.060
03/10/2021,-2.316,9.693
03/09/2021,-2.315,10.181
03/08/2021,-2.257,8.975
03/05/2021,-2.253,8.739
03/04/2021,-2.285,9.644
03/03/2021,-2.241,8.969
03/02/2021,-2.279,10.886
03/01/2021,-2.282,10.067
02/26/2021,-2.276,9.857
02/25/2021,-2.284,10.367
02/24/2021,-2.192,14.226
02/23/2021,-2.211,12.406
02/22/2021,-2.235,11.943
02/19/2021,-2.248,12.171
02/18/2021,-2.292,11.697
02/17/2021,-2.359,12.771
02/16/2021,-2.333,13.068
02/15/2021,-2.385,12.671
02/12/2021,-2.428,12.979
02/11/2021,-2.466,13.050
02/10/2021,-2.446,12.579
02/09/2021,-2.461,13.907
02/08/2021,-2.456,14.111
02/05/2021,-2.453,14.167
02/04/2021,-2.502,14.401
02/03/2021,-2.562,15.089
02/02/2021,-2.563,15.099
02/01/2021,-2.593,14.152
01/29/2021,-2.577,13.857
01/28/2021,-2.626,13.521
01/27/2021,-2.607,13.342
01/26/2021,-2.593,13.068
01/25/2021,-2.591,13.558
01/22/2021,-2.540,13.400
01/21/2021,-2.526,13.681
01/20/2021,-2.559,14.329
01/19/2021,-2.611,14.190
01/18/2021,-2.601,13.402
01/15/2021,-2.600,13.408
01/14/2021,-2.603,12.346
01/13/2021,-2.576,12.263
01/12/2021,-2.535,12.412
01/11/2021,-2.573,13.607
01/08/2021,-2.601,14.155
01/07/2021,-2.594,15.033
01/06/2021,-2.658,13.842
01/05/2021,-2.680,12.215
01/04/2021,-2.723,10.999
12/31/2020,-2.710,10.545
12/30/2020,-2.675,10.422
12/29/2020,-2.672,10.085
12/24/2020,-2.641,11.585
12/23/2020,-2.607,11.177
12/22/2020,-2.735,13.369
12/21/2020,-2.733,13.337
12/18/2020,-2.708,13.238
12/17/2020,-2.682,13.604
12/16/2020,-2.709,13.465
12/15/2020,-2.729,14.697
12/14/2020,-2.768,15.122
12/11/2020,-2.835,16.200
12/10/2020,-2.814,16.113
12/09/2020,-2.752,14.654
12/08/2020,-2.775,15.080
12/07/2020,-2.725,14.767
12/04/2020,-2.651,13.629
12/03/2020,-2.642,13.169
12/02/2020,-2.621,12.952
12/01/2020,-2.626,11.944
11/30/2020,-2.659,12.028
11/27/2020,-2.635,11.884
11/26/2020,-2.645,12.298
11/25/2020,-2.587,12.167
11/24/2020,-2.518,14.461
11/23/2020,-2.542,13.198
11/20/2020,-2.603,14.510
11/19/2020,-2.578,14.308
11/18/2020,-2.570,15.279
11/17/2020,-2.570,15.436
11/16/2020,-2.560,14.433
11/13/2020,-2.553,14.761
11/12/2020,-2.549,14.567
11/11/2020,-2.507,15.051
11/10/2020,-2.527,16.159
11/09/2020,-2.608,15.379
11/06/2020,-2.701,15.241
11/05/2020,-2.759,15.494
11/04/2020,-2.792,15.328
11/03/2020,-2.749,15.866
11/02/2020,-2.778,16.179
10/30/2020,-2.773,16.249
10/29/2020,-2.797,15.633
10/28/2020,-2.778,15.322
10/27/2020,-2.761,15.950
10/26/2020,-2.724,15.890
10/23/2020,-2.733,15.337
10/22/2020,-2.734,15.691
10/21/2020,-2.765,16.141
10/20/2020,-2.813,16.830
10/19/2020,-2.837,16.709
10/16/2020,-2.823,16.490
10/15/2020,-2.821,16.980
10/14/2020,-2.768,16.398
10/13/2020,-2.753,16.669
10/12/2020,-2.721,16.579
10/09/2020,-2.722,16.228
10/08/2020,-2.717,17.215
10/07/2020,-2.690,17.679
10/06/2020,-2.706,17.875
10/05/2020,-2.738,17.670
10/02/2020,-2.760,17.749
10/01/2020,-2.816,18.766
09/30/2020,-2.752,16.641
09/29/2020,-2.784,16.316
09/28/2020,-2.759,16.521
